,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
2118,Sameer_JSP786,2022-11-12 04:32:45+00:00,1.0,,2.0,0.0,1.5912878595200287e+18,https://twitter.com/Sameer_JSP786/status/1591287859520028672,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj3n3VUAAvOAg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj3n3VUAAvOAg?format=jpg&name=large')]",JaganannaMosam,511.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/XnHqao468l"
2119,VinodhKalyanJSP,2022-11-12 04:32:44+00:00,6.0,,6.0,0.0,1.5912878563830129e+18,https://twitter.com/VinodhKalyanJSP/status/1591287856383012864,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj3iTVIAA_5u7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj3iTVIAA_5u7?format=jpg&name=large')]",JaganannaMosam,2237.0,#JaganannaMosam https://t.co/7sK3VCoUJp
2120,ReddySr78,2022-11-12 04:32:42+00:00,0.0,,0.0,0.0,1.591287848531284e+18,https://twitter.com/ReddySr78/status/1591287848531283970,,['JaganannaMosam'],,JaganannaMosam,12.0,#JaganannaMosam
2121,SatyaDevVS,2022-11-12 04:32:42+00:00,0.0,,0.0,0.0,1.591287848527106e+18,https://twitter.com/SatyaDevVS/status/1591287848527106048,,['JaganannaMosam'],,JaganannaMosam,27.0,#JaganannaMosam https://t.co/e8gWySv2uW
2122,NizamPKFC,2022-11-12 04:32:38+00:00,180.0,,148.0,0.0,1.5912878325887263e+18,https://twitter.com/NizamPKFC/status/1591287832588726273,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj2aZVIAIBo4S?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj2aZVIAIBo4S?format=jpg&name=large')]",JaganannaMosam,23392.0,"జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి 

#JaganannaMosam https://t.co/MtL53RuT3t"
2123,UttarandhraSena,2022-11-12 04:32:38+00:00,74.0,,69.0,0.0,1.5912878312717312e+18,https://twitter.com/UttarandhraSena/status/1591287831271731200,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj1vFaMAAayJL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj1vFaMAAayJL?format=jpg&name=large')]",JaganannaMosam,9737.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/BXPwTEuQNj"
2124,Ganta_Ramana91,2022-11-12 04:32:37+00:00,0.0,,0.0,0.0,1.5912878273752146e+18,https://twitter.com/Ganta_Ramana91/status/1591287827375214592,,['JaganannaMosam'],,JaganannaMosam,102.0,#JaganannaMosam
2125,SravanG03385012,2022-11-12 04:32:36+00:00,1.0,,3.0,0.0,1.591287824204333e+18,https://twitter.com/SravanG03385012/status/1591287824204333056,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj18FUYAAItMC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj18FUYAAItMC?format=jpg&name=large')]",JaganannaMosam,265.0,"జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/dpo06bMDm7"
2126,j_jalaga,2022-11-12 04:32:34+00:00,0.0,,0.0,0.0,1.591287816268714e+18,https://twitter.com/j_jalaga/status/1591287816268713984,,['JaganannaMosam'],,JaganannaMosam,61.0,#JaganannaMosam
2127,HumanTsunamiFan,2022-11-12 04:32:30+00:00,2.0,,2.0,0.0,1.591287797302063e+18,https://twitter.com/HumanTsunamiFan/status/1591287797302063104,,['JaganannaMosam'],,JaganannaMosam,5177.0,#JaganannaMosam
2128,jansenapraveen,2022-11-12 04:32:28+00:00,0.0,,1.0,0.0,1.5912877879655465e+18,https://twitter.com/jansenapraveen/status/1591287787965546498,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVjzWsaUAAxirg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVjzWsaUAAxirg?format=jpg&name=large')]",JaganannaMosam,19.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/iQbSeYXiNI"
2129,JSP_CPT,2022-11-12 04:32:24+00:00,9.0,,11.0,0.0,1.5912877739355873e+18,https://twitter.com/JSP_CPT/status/1591287773935587329,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVjy9laAAAmFaV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVjy9laAAAmFaV?format=jpg&name=large')]",JaganannaMosam,926.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/urb35vs03Q"
2130,GaneshDutta_31,2022-11-12 04:32:22+00:00,0.0,,0.0,0.0,1.5912877629968466e+18,https://twitter.com/GaneshDutta_31/status/1591287762996846592,,['JaganannaMosam'],,JaganannaMosam,11.0,#JaganannaMosam
